nameWithOwner,folderName,url,createdAt,stargazerCount,releases,LOC,CBO,DIT,LCOM
permissions-dispatcher/PermissionsDispatcher,PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2015-08-15 21:41:05,11100,40,,,,
frank-lam/fullstack-tutorial,fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,2018-04-13 01:50:10,11048,0,,,,
janishar/mit-deep-learning-book-pdf,mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,2017-04-07 10:46:50,11041,3,,,,
theonedev/onedev,onedev,https://github.com/theonedev/onedev,2018-11-06 02:57:01,10995,250,,,,
redis/jedis,jedis,https://github.com/redis/jedis,2010-06-11 13:04:43,10988,76,,,,
DuGuQiuBai/Java,Java,https://github.com/DuGuQiuBai/Java,2015-11-25 07:30:08,10898,0,,,,
alibaba/vlayout,vlayout,https://github.com/alibaba/vlayout,2017-02-27 08:11:47,10834,34,,,,
H07000223/FlycoTabLayout,FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,2015-11-09 01:53:19,10821,4,,,,
questdb/questdb,questdb,https://github.com/questdb/questdb,2014-04-28 23:29:15,10777,62,,,,
code4craft/webmagic,webmagic,https://github.com/code4craft/webmagic,2013-04-23 12:57:36,10770,23,,,,
lingochamp/FileDownloader,FileDownloader,https://github.com/lingochamp/FileDownloader,2015-12-22 11:17:16,10754,65,,,,
pxb1988/dex2jar,dex2jar,https://github.com/pxb1988/dex2jar,2015-03-16 09:13:07,10732,6,,,,
gyf-dev/ImmersionBar,ImmersionBar,https://github.com/gyf-dev/ImmersionBar,2017-04-19 05:10:09,10724,0,,,,
mission-peace/interview,interview,https://github.com/mission-peace/interview,2014-07-20 21:27:31,10717,0,,,,
Tencent/matrix,matrix,https://github.com/Tencent/matrix,2018-12-11 07:08:02,10687,16,,,,
zaproxy/zaproxy,zaproxy,https://github.com/zaproxy/zaproxy,2015-06-03 16:55:01,10653,311,,,,
android-async-http/android-async-http,android-async-http,https://github.com/android-async-http/android-async-http,2011-02-20 03:25:07,10647,3,,,,
careercup/CtCI-6th-Edition,CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,2015-07-02 06:28:46,10581,0,,,,
jeasonlzy/okhttp-OkGo,okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,2016-01-15 10:35:24,10510,14,,,,
lipangit/JiaoZiVideoPlayer,JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,2016-02-06 11:04:24,10444,78,,,,
grpc/grpc-java,grpc-java,https://github.com/grpc/grpc-java,2014-12-08 19:00:00,10440,138,,,,
tbruyelle/RxPermissions,RxPermissions,https://github.com/tbruyelle/RxPermissions,2015-09-29 13:55:09,10431,11,,,,
daniulive/SmarterStreaming,SmarterStreaming,https://github.com/daniulive/SmarterStreaming,2016-03-26 14:46:02,10422,0,,,,
chefyuan/algorithm-base,algorithm-base,https://github.com/chefyuan/algorithm-base,2021-03-17 09:32:28,10359,0,,,,
aosp-mirror/platform_frameworks_base,platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,2008-10-21 18:20:37,10356,0,,,,
JessYanCoding/MVPArms,MVPArms,https://github.com/JessYanCoding/MVPArms,2016-08-06 08:49:56,10204,25,,,,
JakeWharton/ViewPagerIndicator,ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,2011-08-04 17:13:44,10184,0,,,,
apache/dolphinscheduler,dolphinscheduler,https://github.com/apache/dolphinscheduler,2019-03-01 16:39:25,10174,40,,,,
square/javapoet,javapoet,https://github.com/square/javapoet,2013-02-01 16:56:30,10137,0,,,,
gyoogle/tech-interview-for-developer,tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,2019-06-09 04:42:57,10095,0,,,,
google/auto,auto,https://github.com/google/auto,2013-05-22 21:41:56,10057,57,,,,
jhy/jsoup,jsoup,https://github.com/jhy/jsoup,2009-12-19 01:29:58,10047,9,,,,
apereo/cas,cas,https://github.com/apereo/cas,2011-09-09 01:36:42,10046,242,,,,
macrozheng/mall-swarm,mall-swarm,https://github.com/macrozheng/mall-swarm,2019-11-25 06:55:31,9995,2,,,,
clojure/clojure,clojure,https://github.com/clojure/clojure,2010-06-29 20:03:33,9919,0,,,,
amitshekhariitbhu/android-interview-questions,android-interview-questions,https://github.com/amitshekhariitbhu/android-interview-questions,2017-07-09 18:47:24,9860,0,,,,
newbee-ltd/newbee-mall,newbee-mall,https://github.com/newbee-ltd/newbee-mall,2019-09-21 03:56:04,9853,0,,,,
yuliskov/SmartTubeNext,SmartTubeNext,https://github.com/yuliskov/SmartTubeNext,2020-07-28 12:53:52,9804,125,,,,
wasabeef/glide-transformations,glide-transformations,https://github.com/wasabeef/glide-transformations,2015-01-09 10:33:29,9753,0,,,,
YoKeyword/Fragmentation,Fragmentation,https://github.com/YoKeyword/Fragmentation,2016-02-23 08:54:55,9731,30,,,,
HarlonWang/AVLoadingIndicatorView,AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,2015-10-24 20:18:33,9695,1,,,,
TooTallNate/Java-WebSocket,Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,2010-01-20 23:33:04,9655,14,,,,
googlesamples/easypermissions,easypermissions,https://github.com/googlesamples/easypermissions,2015-12-22 18:05:53,9648,12,,,,
liaohuqiu/android-Ultra-Pull-To-Refresh,android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13 03:13:10,9619,8,,,,
react-native-camera/react-native-camera,react-native-camera,https://github.com/react-native-camera/react-native-camera,2015-04-01 00:54:40,9618,144,,,,
ksoichiro/Android-ObservableScrollView,Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,2014-11-08 14:45:20,9612,0,,,,
paascloud/paascloud-master,paascloud-master,https://github.com/paascloud/paascloud-master,2018-03-17 05:40:43,9553,0,,,,
perwendel/spark,spark,https://github.com/perwendel/spark,2011-05-05 11:52:05,9464,0,,,,
